"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","name_parts","name_parts_clean","new_simple_name","genus","specificEpithet","infraspecies","comparison_IUCN","comparison_name"
"c209c92e-4ebd-4d87-96c3-ea7e025fc14e","species","t0046238","Totanus taiwanicus","Animalia","Maxillopoda","native","","","","","","","species","Tortanus taiwanicus","","native","","","","c(""Tortanus"", ""taiwanicus"")","c(""Tortanus"", ""taiwanicus"")","Tortanus taiwanicus","Tortanus","taiwanicus",NA,TRUE,FALSE
"2ef4f990-b653-44ee-b391-0e5c5b55e6dc","species","t0047593","Totanus derjugini","Animalia","Maxillopoda","native","","","","","","","species","Tortanus derjugini","","native","","","","c(""Tortanus"", ""derjugini"")","c(""Tortanus"", ""derjugini"")","Tortanus derjugini","Tortanus","derjugini",NA,TRUE,FALSE
"9e7b74f0-5540-4473-91a6-6be4430675aa","species","t0047594","Totanus dextrilobatus","Animalia","Maxillopoda","native","","","","","","","species","Tortanus dextrilobatus","","native","","","","c(""Tortanus"", ""dextrilobatus"")","c(""Tortanus"", ""dextrilobatus"")","Tortanus dextrilobatus","Tortanus","dextrilobatus",NA,TRUE,FALSE
"2c31343a-7332-4a38-8124-d7be6d1ed89c","species","t0047600","Totanus spinicaudatus","Animalia","Maxillopoda","native","","","","","","","species","Tortanus spinicaudatus","","native","","","","c(""Tortanus"", ""spinicaudatus"")","c(""Tortanus"", ""spinicaudatus"")","Tortanus spinicaudatus","Tortanus","spinicaudatus",NA,TRUE,FALSE
"fb2ac646-5754-4e70-9faf-cd545fee033e","species","t0047601","Totanus vermiculus","Animalia","Maxillopoda","native","","","","","","","species","Tortanus vermiculus","","native","","","","c(""Tortanus"", ""vermiculus"")","c(""Tortanus"", ""vermiculus"")","Tortanus vermiculus","Tortanus","vermiculus",NA,TRUE,FALSE
"58c33ae0-c5c9-4212-995f-758db3923dd9","species","t0047591","Totanus barbatus","Animalia","Maxillopoda","native","","","","","","","species","Tortanus barbatus","","native","","","","c(""Tortanus"", ""barbatus"")","c(""Tortanus"", ""barbatus"")","Tortanus barbatus","Tortanus","barbatus",NA,TRUE,FALSE
"d53c6ced-1cd2-4167-a26d-74b256ced1f8","species","t0047595","Totanus forcipatus","Animalia","Maxillopoda","native","","","","","","","species","Tortanus forcipatus","","native","","","","c(""Tortanus"", ""forcipatus"")","c(""Tortanus"", ""forcipatus"")","Tortanus forcipatus","Tortanus","forcipatus",NA,TRUE,FALSE
"0fcb3c6c-fb8d-4f0c-ac42-28a00a708c68","species","t0047596","Totanus gracilis","Animalia","Maxillopoda","native","","","","","","","species","Tortanus gracilis","","native","","","","c(""Tortanus"", ""gracilis"")","c(""Tortanus"", ""gracilis"")","Tortanus gracilis","Tortanus","gracilis",NA,TRUE,FALSE
"d62cadfe-a265-4f83-a4a9-1c6b4aeac149","species","t0047592","Totanus denticulata","Animalia","Maxillopoda","native","","","","","","","species","Tortanus denticulata","","native","","","","c(""Tortanus"", ""denticulata"")","c(""Tortanus"", ""denticulata"")","Tortanus denticulata","Tortanus","denticulata",NA,TRUE,FALSE
"ea2dabf4-4788-4314-839e-aec4c619c321","species","t0033026","Stegastes altus","Animalia","Actinopterygii","native","","","","","","","species","Pomacentrus altus","","native","","","","c(""Pomacentrus"", ""altus"")","c(""Pomacentrus"", ""altus"")","Pomacentrus altus","Pomacentrus","altus",NA,TRUE,FALSE
"e3837603-7004-481b-b7a0-2393e719f1be","species","t0032112","Priolepis cincta","Animalia","Actinopterygii","native","","","","","","","species","Priolepis cinctus","","native","LC","","","c(""Priolepis"", ""cinctus"")","c(""Priolepis"", ""cinctus"")","Priolepis cinctus","Priolepis","cinctus",NA,FALSE,FALSE
