"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"a6d1e31f-4232-4778-a469-ac853cacc6cb","species","t0084518","Cerithidea cingulata","Animalia","Gastropoda","native","","","","","","","species","Pirenella nipponica","","native","","","","Pirenella","nipponica",NA,FALSE,TRUE,TRUE,TRUE
"8e379ba3-5d41-4c76-8ea6-93fe6922a66f","species","t0027878","Melanoides maculata","Animalia","Gastropoda","native","","","","","","","species","Stenomelania macilenta","","native","LC","","","Stenomelania","macilenta",NA,FALSE,FALSE,TRUE,TRUE
"843cff6c-04d7-4bda-b029-dfba8abeb6a2","species","t0080330","Modulus tectum","Animalia","Gastropoda","native","","","","","","","species","Indomodulus tectum","","native","","","","Indomodulus","tectum",NA,FALSE,TRUE,TRUE,TRUE
"899082dc-033d-4c22-a016-731a6bbd7dbe","species","t0078321","Chromodoris fidelis","Animalia","Gastropoda","native","","","","","","","species","Goniobranchus fidelis","","native","","","","Goniobranchus","fidelis",NA,FALSE,TRUE,TRUE,TRUE
"a0b0e896-8b7b-4a4c-b753-5bc231306b3a","species","t0078324","Chromodoris kuniei","Animalia","Gastropoda","native","","","","","","","species","Goniobranchus kuniei","","native","","","","Goniobranchus","kuniei",NA,FALSE,TRUE,TRUE,TRUE
"10634130-462e-45ac-97af-0950e9b51b75","species","t0064569","Glossodoris atromarginata","Animalia","Gastropoda","native","","","","","","","species","Doriprismatica atromarginata","","native","","","","Doriprismatica","atromarginata",NA,FALSE,TRUE,TRUE,TRUE
"5d84e000-5f1d-42ed-84bc-356b9b165d29","species","t0084026","Phidiana indica","Animalia","Gastropoda","native","","","","","","","species","Caloria indica","","native","","","","Caloria","indica",NA,FALSE,TRUE,TRUE,TRUE
"1745c3cf-4d76-40ce-bcc4-abe875e3a5bf","species","t0084262","Phyllidiella granulatus","Animalia","Gastropoda","native","","","","","","","species","Phyllidiella granulata","","native","","","","Phyllidiella","granulata",NA,FALSE,TRUE,TRUE,TRUE
"071e2b93-feb0-4d32-a311-1c74ef1d27e5","species","t0081812","Notoacmea boninensis","Animalia","Gastropoda","native","","","","","","","infraspecies","Notoacmea schrenckii boninensis","","native","","","","Notoacmea","schrenckii","boninensis",FALSE,TRUE,TRUE,TRUE
"529e6153-a3e2-4c42-8ad0-79a08b701999","species","t0032772","Phalium bisulcatum","Animalia","Gastropoda","native","","","","","","","species","Semicassis bisulcata","","native","","","","Semicassis","bisulcata",NA,FALSE,TRUE,TRUE,TRUE
